Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a),,
Capistrano,10b,36,5,4,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,6,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,6,2,8,1,6,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,6,3,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,6,4,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,7,1,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,7,2,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,7,3,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,8,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,8,2,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,8,3,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,9,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,9,2,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,9,3,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,9,4,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,10,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,10,2,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,11,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,11,3,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,11,4,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,12,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,12,2,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,12,3,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,12,4,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,13,1,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
Capistrano,10b,36,13,2,8,1,8,Castagno,FALSE,0.01,0.02,,,2.00,0.00,,
Capistrano,10b,36,13,3,6,1,6,Castagno,FALSE,0.00,0.01,,,2.00,0.00,,
